prompts,answers,categories
ALIGNED,"Aligned Layer is a pioneering decentralized verification layer for Ethereum that utilizes Eigen Layer to enhance zero-knowledge proof capabilities, aiming to provide affordable and efficient verification through restaking while focusing on integrating advanced ZK technologies to reduce costs and improve the developer experience.",ZK
anoma,"Anoma is a developing layer one blockchain project that aims to facilitate private, decentralized asset trading across multiple networks without relying on a central base.",ZK
ANYKRAFT,"ANYKRAFT, a Lemniscap portfolio company, focuses on enhancing consumer applications through blockchain technology, aiming to empower users and creators in the Web3 space by leveraging decentralized solutions and fostering digital economy engagement.",Consumer
Arcade,"Arcade is a DeFi platform that enables users to secure loans using NFTs as collateral, having raised $15 million in Series A funding from prominent investors like Pantera Capital and Franklin Templeton Blockchain Fund.",DeFi
Astria,"Astria, a Lemniscap Infrastructure portfolio company that has raised $18 million in funding, is developing a shared sequencer network to enable multiple rollups to use a decentralized network of sequencers, replacing centralized sequencing.",Infrastructure
AURORA,"Aurora, developed by the NEAR Protocol team, is an Ethereum Virtual Machine that enables developers to run their dApps on the Ethereum network while leveraging NEAR Protocol's capabilities for improved performance and scalability, having recently raised $12 million in a Series A funding round.",Infrastructure
AVALANCHE,"Avalanche is a high-performance blockchain protocol in Lemniscap's portfolio, offering scalability, flexibility, and Ethereum compatibility for efficient dApp and custom blockchain network development within the Web3 ecosystem.",Infrastructure
AXELAR,"Axelar is a billion-dollar valued, decentralized interoperability network that enables cross-chain communication and seamless interaction between multiple blockchains, offering developers tools to build applications that can operate across various blockchain ecosystems.",Infrastructure
basic.tech,"Basic.tech is a portfolio company of Lemniscap, an investment firm focused on crypto assets and blockchain startups, likely operating within the Web3 ecosystem.",Infrastructure
BITNOMIAL,"Bitnomial is a Bitcoin derivatives exchange, founded in 2014, that offers futures and options trading to connect digital asset hedgers with institutional traders, enabling risk management in the cryptocurrency market.",DeFi
BOLT LABS,"Bolt Labs, a Lemniscap portfolio company founded in 2017, develops infrastructure for secure and private digital asset management, offering products like Lock-Keeper for key management and anonymous payment channels, with backing from notable investors such as Dekrypt Capital and Ripple's Xpring.",Infrastructure
BRINK,"BRINK, a portfolio company of crypto-focused investment firm Lemniscap, develops crucial infrastructure solutions for the blockchain ecosystem, aligning with Lemniscap's emphasis on innovative technologies such as zero-knowledge infrastructure and decentralized physical infrastructure.",Infrastructure
CELESTIA,"Celestia is a modular data availability network within the Lemniscap Infrastructure portfolio that simplifies the secure launch of custom blockchains, enhancing blockchain infrastructure capabilities with a team of 10 to 100 employees.",Infrastructure
certora,"Certora is a blockchain security company that offers formal verification tools, smart contract audits, and collaborative security contests to enhance the integrity of decentralized finance applications, protecting billions in assets and helping developers identify vulnerabilities early in the development process.",Tooling
CHAINSPACE,"Chainspace, founded by Alberto Sonnino and backed by investors like Lemniscap, is a decentralized infrastructure platform that focuses on developing scalable blockchain solutions through sharded smart contracts, aiming to innovate within the Web3 ecosystem.",Infrastructure
cosmology,"Cosmology is a comprehensive technology suite that simplifies Web3 application development within the Cosmos ecosystem, offering tools and resources for developers of all skill levels to create various decentralized applications, from wallets to NFTs, while streamlining complex blockchain processes.",Tooling
Custodia,"Custodia, a company within the Lemniscap portfolio, is likely involved in the decentralized finance (DeFi) sector, given Lemniscap's focus on investing in blockchain and cryptocurrency startups.",DeFi
deBridge,"deBridge is a cross-chain protocol that enables secure asset transfers and smart contract interoperability across multiple blockchains, addressing ecosystem fragmentation in DeFi through its network of independent oracles and validators.",Infrastructure
den,"Den, a Lemniscap Tooling portfolio company, develops essential infrastructure and tools for Web3 decentralized applications, contributing to Lemniscap's strategy of investing in early-stage blockchain technologies that improve user experiences and accessibility in the decentralized ecosystem. The fastest multisig for
onchain teams. Send crypto and fiat. Swap and bridge. Use any dapp or contract. Everything onchain. All in one place.",Tooling
dHEDGE,"dHEDGE is a DeFi protocol that enables users to create and invest in decentralized asset management strategies, bridging traditional asset management with decentralized finance by allowing fund managers to build and manage portfolios on behalf of investors within the crypto ecosystem.",DeFi
dora,"Dora is a unified search engine for multiple blockchain networks that raised $5.5 million to improve its platform, which enables users to search onchain data and perform crosschain transactions across over 20 networks through a single interface.",Infrastructure
EigenLayer,"EigenLayer is a decentralized infrastructure layer that enhances Ethereum's security and scalability by allowing validators to ""re-stake"" their assets across multiple protocols.",Infrastructure
